time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,2.0409974e-5,3.7090292e-6,3.7090292e-6,0.0
2.0,2.1155027e-5,3.8416647e-6,3.8416647e-6,0.0
3.0,2.2125196e-5,3.8462667e-6,3.8462667e-6,0.0
4.0,2.3327484e-5,3.8199573e-6,3.8199573e-6,0.0
5.0,2.4816822e-5,3.774478e-6,3.7744771e-6,0.0
6.0,2.6648702e-5,3.733028e-6,3.733028e-6,0.0
7.0,2.8878394e-5,3.7154143e-6,3.7154143e-6,0.0
8.0,3.156106e-5,3.6735937e-6,3.6735937e-6,0.0
9.0,3.4751058e-5,3.6484898e-6,3.64849e-6,0.0
10.0,3.85011e-5,3.634033e-6,3.634033e-6,0.0
11.0,6.32493e-5,7.318742e-6,7.318742e-6,0.0
12.0,6.9000984e-5,7.4473396e-6,7.4473396e-6,0.0
13.0,7.5685944e-5,7.4464065e-6,7.4464065e-6,0.0
14.0,8.3347964e-5,7.3944393e-6,7.3944393e-6,0.0
15.0,9.208212e-5,7.3842352e-6,7.3842352e-6,0.0
16.0,0.00010198179,7.3547963e-6,7.354795e-6,0.0
17.0,0.00011313768,7.303738e-6,7.303737e-6,0.0
18.0,0.00012563803,7.2923135e-6,7.2923135e-6,0.0
19.0,0.00018020209,1.4598774e-5,1.4598772e-5,0.0
20.0,0.0001970042,1.4961799e-5,1.49618e-5,0.0
21.0,0.00022977675,1.7009643e-5,1.9070008e-5,-2.0603663e-6
22.0,0.00027013995,2.1072514e-5,2.3318104e-5,-2.2455908e-6
23.0,0.00029242272,2.2390017e-5,2.4035133e-5,-1.645114e-6
24.0,0.000316555,2.585361e-5,2.6179558e-5,-3.2594917e-7
25.0,0.00034244498,1.9020728e-5,1.9021538e-5,-8.0993345e-10
26.0,0.00037149002,1.8510034e-5,1.8510036e-5,-9.2188376e-14
27.0,0.00040621636,1.8460365e-5,1.8460363e-5,-6.852276e-14
28.0,0.00044544917,1.8402034e-5,1.8402034e-5,-2.7139594e-13
29.0,0.0004885461,1.8371229e-5,1.8371227e-5,0.0
30.0,0.0005355641,1.835085e-5,1.835085e-5,0.0
31.0,0.00058666844,1.8355298e-5,1.8355298e-5,-1.438605e-12
32.0,0.00064203097,1.8379911e-5,1.8379918e-5,-6.4294095e-12
33.0,0.00070181524,1.8399414e-5,1.8399423e-5,-1.0719306e-11
34.0,0.0007661752,1.8445124e-5,1.8445136e-5,-1.4803924e-11
35.0,0.0008352553,1.8504757e-5,1.850478e-5,-2.249157e-11
36.0,0.0009091904,1.8559667e-5,1.8559704e-5,-3.700622e-11
37.0,0.0010084391,2.2296386e-5,2.2296445e-5,-5.955865e-11
38.0,0.0010931484,2.2559823e-5,2.2559914e-5,-9.0829774e-11
39.0,0.0011833105,2.2659106e-5,2.2659242e-5,-1.3739936e-10
40.0,0.0012992554,2.6044083e-5,2.604428e-5,-1.972235e-10
41.0,0.001401045,2.65979e-5,2.659817e-5,-2.7153854e-10
42.0,0.0015293313,3.0106767e-5,3.0107129e-5,-3.638658e-10
43.0,0.0016642556,3.3958055e-5,3.395853e-5,-4.782619e-10
44.0,0.001786143,3.445999e-5,3.4460616e-5,-6.2809374e-10
45.0,0.0019151621,3.4542103e-5,3.4542925e-5,-8.22602e-10
46.0,0.0020513504,3.4543915e-5,3.454497e-5,-1.0527474e-9
47.0,0.002194977,3.4533423e-5,3.4535e-5,-1.580746e-9
48.0,0.0023463133,3.4560424e-5,3.456213e-5,-1.7055565e-9
49.0,0.0025056226,3.454718e-5,3.4549357e-5,-2.1776687e-9
50.0,0.0026731612,3.4616653e-5,3.461943e-5,-2.7764817e-9
51.0,0.0028491758,3.4630793e-5,3.463429e-5,-3.4942325e-9
52.0,0.0030339006,3.474568e-5,3.4750057e-5,-4.378761e-9
53.0,0.0032275603,3.4797587e-5,3.4802863e-5,-5.27175e-9
54.0,0.003430365,3.4946053e-5,3.4952278e-5,-6.220834e-9
55.0,0.003642514,3.5075947e-5,3.508298e-5,-7.0295125e-9
56.0,0.0038641936,3.5210123e-5,3.52179e-5,-7.773252e-9
57.0,0.004095579,3.5390345e-5,3.5398647e-5,-8.298152e-9
58.0,0.0043773795,4.2759577e-5,4.2768406e-5,-8.8335295e-9
59.0,0.004629914,4.3415937e-5,4.3425447e-5,-9.507679e-9
60.0,0.0048931753,4.361417e-5,4.36247e-5,-1.0528562e-8
61.0,0.005167175,4.3731816e-5,4.3743967e-5,-1.2156749e-8
62.0,0.005472643,4.7617188e-5,4.763134e-5,-1.4150744e-8
63.0,0.0057695904,4.7844347e-5,4.7861166e-5,-1.6822993e-8
64.0,0.0060781674,4.7954487e-5,4.797423e-5,-1.9745519e-8
65.0,0.006398609,4.808471e-5,4.8107366e-5,-2.2660222e-8
66.0,0.006751504,5.19366e-5,5.1961826e-5,-2.5225894e-8
67.0,0.0070971367,5.221831e-5,5.224549e-5,-2.7178993e-8
68.0,0.007455632,5.240343e-5,5.2432068e-5,-2.864065e-8
69.0,0.007827199,5.2507698e-5,5.2537765e-5,-3.0063905e-8
70.0,0.008212109,5.2682302e-5,5.2715415e-5,-3.3112222e-8
71.0,0.008610627,5.2840667e-5,5.287734e-5,-3.6673846e-8
72.0,0.009023004,5.2962223e-5,5.300339e-5,-4.1160643e-8
73.0,0.009449481,5.3224827e-5,5.3270156e-5,-4.5328065e-8
74.0,0.009890287,5.3436343e-5,5.3487187e-5,-5.083939e-8
75.0,0.010345639,5.364746e-5,5.37031e-5,-5.5640275e-8
76.0,0.010815741,5.390707e-5,5.3965563e-5,-5.8488936e-8
77.0,0.011300786,5.4175925e-5,5.4237484e-5,-6.156103e-8
78.0,0.011800956,5.4472133e-5,5.4537235e-5,-6.510499e-8
79.0,0.01231642,5.474011e-5,5.481061e-5,-7.049904e-8
80.0,0.012847336,5.4965596e-5,5.504255e-5,-7.6955786e-8
81.0,0.013393852,5.5267927e-5,5.5352994e-5,-8.506722e-8
82.0,0.013956112,5.5619214e-5,5.571248e-5,-9.326384e-8
83.0,0.01453424,5.5971566e-5,5.607185e-5,-1.00283394e-7
84.0,0.015128363,5.632264e-5,5.6427107e-5,-1.04467425e-7
85.0,0.015738592,5.6674035e-5,5.6782555e-5,-1.0852137e-7
86.0,0.01644635,7.121822e-5,7.133057e-5,-1.12347834e-7
87.0,0.017091528,7.261296e-5,7.273328e-5,-1.2033009e-7
