time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,2.0371772e-5,3.6926533e-6,3.6926533e-6,0.0
8.0,2.1094467e-5,3.841451e-6,3.841451e-6,0.0
9.0,2.2050019e-5,3.8443773e-6,3.8443773e-6,0.0
10.0,2.3234228e-5,3.8169187e-6,3.8169183e-6,0.0
11.0,2.470156e-5,3.7790207e-6,3.7790205e-6,0.0
12.0,2.6507556e-5,3.741268e-6,3.741268e-6,0.0
13.0,2.8707465e-5,3.7111845e-6,3.7111843e-6,0.0
14.0,3.1356492e-5,3.678304e-6,3.678304e-6,0.0
15.0,3.4509078e-5,3.6509743e-6,3.6509743e-6,0.0
16.0,3.821807e-5,3.6328206e-6,3.6328206e-6,0.0
17.0,4.253414e-5,3.61349e-6,3.6134902e-6,0.0
18.0,4.7505488e-5,3.6046592e-6,3.6046592e-6,0.0
19.0,5.3177777e-5,3.5988005e-6,3.5988007e-6,0.0
20.0,5.9594087e-5,3.5922608e-6,3.5922608e-6,0.0
21.0,6.679496e-5,3.5998523e-6,3.5998519e-6,0.0
22.0,7.4818454e-5,3.602733e-6,3.6027327e-6,0.0
23.0,0.00010425304,7.3845627e-6,7.3845627e-6,0.0
24.0,0.0001148331,7.4682475e-6,7.4682475e-6,0.0
25.0,0.00012654778,7.4666345e-6,7.466635e-6,0.0
26.0,0.00013945777,7.447088e-6,7.447088e-6,0.0
27.0,0.00015364547,7.429876e-6,7.429876e-6,0.0
28.0,0.00016919085,7.408664e-6,7.4086634e-6,0.0
29.0,0.00018617217,7.384851e-6,7.384851e-6,0.0
30.0,0.00020466569,7.3875863e-6,7.3875863e-6,0.0
31.0,0.00022474519,7.376784e-6,7.376784e-6,0.0
32.0,0.0002464813,7.3839515e-6,7.3839515e-6,0.0
33.0,0.00026994076,7.384165e-6,7.384165e-6,0.0
34.0,0.0002951873,7.4044906e-6,7.4044906e-6,0.0
35.0,0.0003428192,1.1179303e-5,1.1179303e-5,0.0
36.0,0.00037261646,1.1289524e-5,1.1289524e-5,-2.8955497e-17
37.0,0.00040458134,1.12978705e-5,1.1297873e-5,-9.338386e-13
38.0,0.00043879362,1.1283793e-5,1.1283796e-5,-2.8138332e-12
39.0,0.00047535574,1.1290272e-5,1.1290282e-5,-9.402994e-12
40.0,0.0005143645,1.1297723e-5,1.129774e-5,-1.7623833e-11
41.0,0.00055591547,1.1289606e-5,1.1289637e-5,-3.1229918e-11
42.0,0.00060010224,1.12891685e-5,1.1289222e-5,-5.4151402e-11
43.0,0.00064701174,1.1307511e-5,1.1307604e-5,-9.4012416e-11
44.0,0.00069672987,1.1338861e-5,1.1339005e-5,-1.4311344e-10
