time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,4.075409e-5,7.397125e-6,7.397125e-6,0.0
2.0,4.2206135e-5,7.685404e-6,7.685404e-6,0.0
3.0,4.4121403e-5,7.6861725e-6,7.6861725e-6,0.0
4.0,4.6494963e-5,7.6293095e-6,7.6293104e-6,0.0
5.0,4.943589e-5,7.558326e-6,7.558326e-6,0.0
6.0,5.305525e-5,7.4856634e-6,7.485664e-6,0.0
7.0,5.746356e-5,7.418322e-6,7.418322e-6,0.0
8.0,6.27712e-5,7.3561705e-6,7.3561705e-6,0.0
9.0,6.9087044e-5,7.3039596e-6,7.303959e-6,0.0
10.0,7.651674e-5,7.2618755e-6,7.2618755e-6,0.0
11.0,8.516159e-5,7.2293224e-6,7.2293224e-6,0.0
12.0,9.511795e-5,7.2080884e-6,7.2080884e-6,0.0
13.0,0.00010647708,7.1958766e-6,7.1958766e-6,0.0
14.0,0.00011932508,7.1907757e-6,7.1907757e-6,0.0
15.0,0.000133743,7.194943e-6,7.194943e-6,0.0
16.0,0.0001498069,7.2041594e-6,7.204159e-6,0.0
17.0,0.00016758799,7.2182675e-6,7.2182675e-6,0.0
18.0,0.00018715266,7.238525e-6,7.238525e-6,0.0
19.0,0.00020856272,7.2630555e-6,7.2630546e-6,0.0
20.0,0.00023187562,7.289951e-6,7.289952e-6,0.0
21.0,0.00027774574,1.1098933e-5,1.1098935e-5,0.0
22.0,0.00030584354,1.1200156e-5,1.1200156e-5,0.0
23.0,0.00033620375,1.1227419e-5,1.1227419e-5,0.0
24.0,0.00036890554,1.1232661e-5,1.1232661e-5,0.0
25.0,0.00040404403,1.1224595e-5,1.1224595e-5,0.0
26.0,0.00044171105,1.1231452e-5,1.1231452e-5,0.0
27.0,0.0005023887,1.4968762e-5,1.4968762e-5,0.0
28.0,0.00054611336,1.5095926e-5,1.5095927e-5,0.0
29.0,0.0005928534,1.512308e-5,1.512308e-5,0.0
30.0,0.000642691,1.51063505e-5,1.51063505e-5,0.0
31.0,0.00069575594,1.512237e-5,1.5122372e-5,-1.154171e-12
32.0,0.0007521752,1.5109876e-5,1.5109882e-5,-6.005912e-12
33.0,0.0008120708,1.5129983e-5,1.5129999e-5,-1.818807e-11
34.0,0.00087556086,1.5137033e-5,1.5137071e-5,-4.0056184e-11
35.0,0.0009630031,1.8687775e-5,1.8687848e-5,-7.440594e-11
36.0,0.0010345819,1.9035464e-5,1.9035591e-5,-1.271706e-10
37.0,0.0011103995,1.9097355e-5,1.9097555e-5,-2.009855e-10
38.0,0.0011904477,1.9101304e-5,1.9101606e-5,-3.025549e-10
39.0,0.0012748664,1.912993e-5,1.9130357e-5,-4.2812262e-10
40.0,0.0013637968,1.919581e-5,1.9196399e-5,-5.8781036e-10
41.0,0.0014573744,1.9210627e-5,1.9211413e-5,-7.860922e-10
42.0,0.0015557293,1.9242842e-5,1.9243871e-5,-1.0294955e-9
43.0,0.0016589868,1.9310564e-5,1.9311887e-5,-1.3237333e-9
44.0,0.0017672654,1.9337582e-5,1.9339242e-5,-1.6592541e-9
45.0,0.0018806779,1.941379e-5,1.9415813e-5,-2.0229487e-9
46.0,0.0019993305,1.9473733e-5,1.9476203e-5,-2.4709321e-9
47.0,0.0021233223,1.959109e-5,1.9594072e-5,-2.9818448e-9
48.0,0.0022527475,1.9679477e-5,1.9683008e-5,-3.531021e-9
49.0,0.0023876936,1.9771092e-5,1.9775282e-5,-4.190697e-9
50.0,0.0025485335,2.3497261e-5,2.3502167e-5,-4.906769e-9
51.0,0.0026954152,2.3799414e-5,2.3809776e-5,-1.0363936e-8
52.0,0.0028483144,2.3368166e-5,2.3913854e-5,-5.456887e-7
53.0,0.0030277793,2.3679524e-5,2.8026645e-5,-4.3471214e-6
54.0,0.0031936695,2.899821e-5,3.243938e-5,-3.4411682e-6
55.0,0.0033660415,2.9536037e-5,3.1819378e-5,-2.283341e-6
56.0,0.0035450344,2.871703e-5,3.0540188e-5,-1.823163e-6
57.0,0.0037308102,2.8512346e-5,3.0070574e-5,-1.5582277e-6
58.0,0.0039235265,2.845482e-5,2.9832852e-5,-1.3780303e-6
59.0,0.0041233376,2.8486476e-5,2.9731791e-5,-1.2453158e-6
60.0,0.004350673,3.212212e-5,3.326452e-5,-1.1424004e-6
61.0,0.0045657544,3.242976e-5,3.348937e-5,-1.0596062e-6
62.0,0.004788626,3.251268e-5,3.3503697e-5,-9.910168e-7
63.0,0.005019365,3.2580283e-5,3.3513887e-5,-9.336038e-7
64.0,0.0052581457,3.2659053e-5,3.354317e-5,-8.841179e-7
65.0,0.005505139,3.272668e-5,3.3568318e-5,-8.416411e-7
66.0,0.005760506,3.2805303e-5,3.3609682e-5,-8.0438224e-7
67.0,0.006024404,3.2922504e-5,3.3693952e-5,-7.7144983e-7
68.0,0.006296984,3.3039636e-5,3.378232e-5,-7.426821e-7
69.0,0.006578386,3.3150114e-5,3.3865414e-5,-7.1529547e-7
70.0,0.006868745,3.32798e-5,3.3973116e-5,-6.933111e-7
71.0,0.0071681878,3.3437966e-5,3.4109642e-5,-6.716777e-7
72.0,0.007476834,3.361658e-5,3.4268465e-5,-6.51888e-7
73.0,0.007794793,3.3795008e-5,3.443084e-5,-6.3583406e-7
74.0,0.008122171,3.3971904e-5,3.4592038e-5,-6.201366e-7
75.0,0.008459066,3.415567e-5,3.4759905e-5,-6.042348e-7
76.0,0.008805569,3.4337452e-5,3.4930155e-5,-5.927034e-7
77.0,0.00918226,3.8281283e-5,3.88631e-5,-5.818219e-7
78.0,0.009549016,3.8555398e-5,3.9125636e-5,-5.7023294e-7
79.0,0.009925836,3.8731618e-5,3.9291568e-5,-5.59949e-7
80.0,0.010312815,3.8887898e-5,3.9442057e-5,-5.541555e-7
81.0,0.0107100755,3.905174e-5,3.9600127e-5,-5.4838296e-7
82.0,0.011117732,3.922108e-5,3.976145e-5,-5.4037287e-7
83.0,0.0115359,3.9381117e-5,3.9915525e-5,-5.344025e-7
