time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,2.4696794e-5,3.6400627e-6,3.640063e-6,0.0
13.0,3.5424804e-5,3.6071401e-6,3.6071401e-6,0.0
14.0,4.984345e-5,3.6071472e-6,3.6071476e-6,0.0
15.0,6.806478e-5,3.6554688e-6,3.6554686e-6,0.0
16.0,9.027579e-5,3.730587e-6,3.7305874e-6,0.0
17.0,0.00011663346,3.8133437e-6,3.813344e-6,0.0
18.0,0.00016768182,7.256249e-6,7.2562493e-6,-7.53916e-13
19.0,0.00021100989,7.607271e-6,7.607282e-6,-1.09876604e-11
20.0,0.00026275625,7.683247e-6,7.683281e-6,-3.568607e-11
21.0,0.0003227358,7.8095745e-6,7.8096555e-6,-8.0617624e-11
22.0,0.00039118234,7.956947e-6,7.957119e-6,-1.7196872e-10
23.0,0.0004683224,8.127325e-6,8.127649e-6,-3.2458802e-10
24.0,0.0005543416,8.313918e-6,8.3144705e-6,-5.511906e-10
25.0,0.0006493919,8.5053925e-6,8.506235e-6,-8.4267454e-10
26.0,0.0007739606,1.2030163e-5,1.2031508e-5,-1.344824e-9
27.0,0.00089570676,1.24968155e-5,1.2498781e-5,-1.9651811e-9
28.0,0.0010531136,1.6296219e-5,1.629912e-5,-2.9016327e-9
29.0,0.0012109084,1.6560509e-5,1.6564343e-5,-3.8351713e-9
30.0,0.0014112481,2.0393769e-5,2.0398831e-5,-5.060527e-9
31.0,0.0016145637,2.063996e-5,2.0646221e-5,-6.2609287e-9
32.0,0.0018393099,2.1074151e-5,2.1082062e-5,-7.9122815e-9
33.0,0.0020859449,2.1537124e-5,2.1547596e-5,-1.0472426e-8
34.0,0.0023549227,2.199556e-5,2.2007192e-5,-1.1633489e-8
35.0,0.0026466176,2.2433947e-5,2.2447271e-5,-1.3320716e-8
36.0,0.0029613383,2.2912624e-5,2.292887e-5,-1.6250109e-8
37.0,0.0032993448,2.3389379e-5,2.3409115e-5,-1.973447e-8
38.0,0.003660852,2.3904036e-5,2.392676e-5,-2.2725482e-8
39.0,0.0040460457,2.4408131e-5,2.4434617e-5,-2.6487834e-8
40.0,0.0044550854,2.4911424e-5,2.4941903e-5,-3.0477814e-8
41.0,0.00488811,2.5422833e-5,2.5456768e-5,-3.39368e-8
42.0,0.005345243,2.5955227e-5,2.5995567e-5,-4.033839e-8
43.0,0.0058265915,2.6510203e-5,2.6557522e-5,-4.7318167e-8
44.0,0.006332253,2.7067485e-5,2.7119933e-5,-5.245035e-8
