time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,2.0896785e-5,3.471202e-6,3.471202e-6,0.0
2.0,2.9591285e-5,3.6255167e-6,3.625517e-6,0.0
3.0,4.2170213e-5,3.6036834e-6,3.6036831e-6,0.0
4.0,8.205691e-5,7.256599e-6,7.256598e-6,0.0
5.0,0.00011247926,7.2952325e-6,7.295232e-6,0.0
6.0,0.00015068272,7.38159e-6,7.381589e-6,0.0
7.0,0.0001968768,7.523165e-6,7.5231646e-6,-2.7397911e-14
8.0,0.00025136292,7.678142e-6,7.678147e-6,-5.107859e-12
9.0,0.0003143943,7.840267e-6,7.840287e-6,-2.010977e-11
10.0,0.0003861763,8.0145455e-6,8.01459e-6,-4.5105662e-11
11.0,0.00046687655,8.199828e-6,8.199935e-6,-1.07379564e-10
12.0,0.0005566342,8.392542e-6,8.392773e-6,-2.3097581e-10
13.0,0.0006555658,8.589792e-6,8.590253e-6,-4.6124574e-10
14.0,0.0007637706,8.788948e-6,8.7897615e-6,-8.1364243e-10
15.0,0.0008813334,8.98755e-6,8.988867e-6,-1.3176475e-9
16.0,0.0010311989,1.2824237e-5,1.2826338e-5,-2.1005002e-9
17.0,0.0011775637,1.2975476e-5,1.2978533e-5,-3.0580325e-9
18.0,0.0013372126,1.3182797e-5,1.3187317e-5,-4.520303e-9
19.0,0.001510226,1.3454241e-5,1.3460364e-5,-6.1242442e-9
20.0,0.0016968373,1.3717996e-5,1.3725694e-5,-7.6987785e-9
21.0,0.0019225723,1.7652126e-5,1.7661694e-5,-9.567741e-9
22.0,0.002147948,1.7881292e-5,1.7892891e-5,-1.1601428e-8
23.0,0.0023911204,1.8203771e-5,1.8217293e-5,-1.3521482e-8
24.0,0.0026523345,1.8561923e-5,1.8577119e-5,-1.5195473e-8
25.0,0.0029318763,1.8913714e-5,1.8932331e-5,-1.8617293e-8
26.0,0.0032299857,1.9288394e-5,1.9311605e-5,-2.320869e-8
27.0,0.00354686,1.9695395e-5,1.972262e-5,-2.7224257e-8
28.0,0.0038826654,2.011736e-5,2.0148114e-5,-3.0753853e-8
29.0,0.0042580753,2.3923752e-5,2.3957233e-5,-3.3484376e-8
30.0,0.0046405606,2.4560411e-5,2.4597639e-5,-3.722603e-8
31.0,0.0050462806,2.4942756e-5,2.4984825e-5,-4.207097e-8
32.0,0.0054750936,2.541009e-5,2.545909e-5,-4.9001258e-8
33.0,0.0059272577,2.5931728e-5,2.59877e-5,-5.5974606e-8
34.0,0.0064030206,2.64505e-5,2.651137e-5,-6.0871706e-8
35.0,0.0069025885,2.6935753e-5,2.6999955e-5,-6.420256e-8
36.0,0.0074471566,3.0891475e-5,3.096155e-5,-7.007896e-8
37.0,0.0080036055,3.1531494e-5,3.1610947e-5,-7.9448505e-8
38.0,0.008588167,3.2076634e-5,3.2167616e-5,-9.098397e-8
39.0,0.009200801,3.263381e-5,3.273351e-5,-9.970121e-8
40.0,0.0098417895,3.3240805e-5,3.334659e-5,-1.0578499e-7
41.0,0.010511535,3.3830263e-5,3.394113e-5,-1.1086633e-7
42.0,0.011212431,2.7629916e-5,3.432917e-5,-6.6992498e-6
43.0,0.011966742,3.311476e-5,3.7295085e-5,-4.180325e-6
44.0,0.012719854,3.459085e-5,3.752935e-5,-2.9384998e-6
45.0,0.013491424,3.5416913e-5,3.78564e-5,-2.439488e-6
46.0,0.014285541,3.6018053e-5,3.8164e-5,-2.1459498e-6
47.0,0.015130004,4.0244693e-5,4.218861e-5,-1.9439176e-6
48.0,0.01598579,4.087679e-5,4.2683925e-5,-1.8071426e-6
49.0,0.016871931,4.160193e-5,4.3298292e-5,-1.6963679e-6
50.0,0.01778914,4.2304197e-5,4.390166e-5,-1.5974599e-6
51.0,0.018738048,4.2967375e-5,4.4457112e-5,-1.489741e-6
52.0,0.01971915,4.3604985e-5,4.503677e-5,-1.4317847e-6
53.0,0.020732857,4.433376e-5,4.5702716e-5,-1.3689574e-6
54.0,0.021779506,4.511181e-5,4.6432997e-5,-1.3211886e-6
55.0,0.022883723,4.952963e-5,5.0805407e-5,-1.2757738e-6
56.0,0.024007628,5.0260074e-5,5.1482e-5,-1.2219198e-6
57.0,0.0251689,5.1024796e-5,5.221052e-5,-1.1857259e-6
58.0,0.026367806,5.1826886e-5,5.297621e-5,-1.1493236e-6
59.0,0.027633132,5.6268073e-5,5.7380745e-5,-1.1126737e-6
60.0,0.028920487,5.697549e-5,5.8059508e-5,-1.0840203e-6
61.0,0.030250078,5.7852103e-5,5.892295e-5,-1.0708491e-6
62.0,0.031643316,6.236049e-5,6.3417974e-5,-1.057497e-6
63.0,0.033067297,6.344746e-5,6.4478205e-5,-1.0307376e-6
64.0,0.034538437,6.431525e-5,6.532471e-5,-1.0094685e-6
65.0,0.036056846,6.5258624e-5,6.624438e-5,-9.857623e-7
66.0,0.03762292,6.62561e-5,6.7253815e-5,-9.977043e-7
67.0,0.039265357,7.093428e-5,7.19184e-5,-9.841284e-7
68.0,0.040939935,7.194364e-5,7.292344e-5,-9.797892e-7
69.0,0.042666808,6.7713154e-5,7.586199e-5,-8.148847e-6
70.0,0.044446364,7.555087e-5,7.96095e-5,-4.0586247e-6
71.0,0.04627898,7.5866854e-5,7.9067104e-5,-3.200259e-6
72.0,0.048185267,8.00977e-5,8.291088e-5,-2.8131915e-6
73.0,0.05013311,8.1397025e-5,8.394892e-5,-2.5519025e-6
74.0,0.052138794,8.2637955e-5,8.50213e-5,-2.3833486e-6
75.0,0.054202285,8.38464e-5,8.613625e-5,-2.2898512e-6
76.0,0.05632488,8.496694e-5,8.715049e-5,-2.1835485e-6
77.0,0.058513645,7.4776355e-5,8.694598e-5,-1.2169624e-5
78.0,0.06074902,7.398788e-5,8.626834e-5,-1.22804595e-5
79.0,0.063011065,7.838581e-5,8.661326e-5,-8.227448e-6
80.0,0.06530083,8.017211e-5,8.718167e-5,-7.0095616e-6
81.0,0.06762647,8.1382306e-5,8.769691e-5,-6.3146063e-6
82.0,0.0699922,8.243763e-5,8.82292e-5,-5.7915713e-6
83.0,0.07240034,8.365724e-5,8.910084e-5,-5.4435945e-6
84.0,0.07485236,8.494241e-5,9.00911e-5,-5.1486836e-6
85.0,0.077349305,8.605966e-5,9.095187e-5,-4.892202e-6
86.0,0.07989194,8.6979046e-5,9.1642156e-5,-4.6631108e-6
87.0,0.0824809,8.8027264e-5,9.2506314e-5,-4.4790386e-6
88.0,0.08513708,9.267471e-5,9.702286e-5,-4.348144e-6
89.0,0.08782839,9.406781e-5,9.829131e-5,-4.223497e-6
90.0,0.090571254,9.5016265e-5,9.906552e-5,-4.0492537e-6
91.0,0.093389526,9.962885e-5,0.00010358144,-3.9525894e-6
92.0,0.09627002,0.00010453367,0.00010840196,-3.868283e-6
93.0,0.09921472,0.00010942133,0.0001132595,-3.8381663e-6
94.0,0.10223289,0.00011419733,0.00011791931,-3.721994e-6
95.0,0.10530128,0.00011523141,0.000118854456,-3.6230583e-6
96.0,0.10843898,0.00011659046,0.00012019105,-3.6005745e-6
97.0,0.111649424,0.000113421855,0.000120659475,-7.2376342e-6
98.0,0.11492636,0.000116251555,0.0001216074,-5.3558583e-6
99.0,0.118264765,0.00011762127,0.00012240963,-4.7883873e-6
100.0,0.12166748,0.00011890571,0.00012342946,-4.5237603e-6
101.0,0.12513618,0.000120565775,0.00012493494,-4.3691675e-6
102.0,0.12867178,0.00012232346,0.00012655997,-4.236528e-6
103.0,0.13227484,0.00012371434,0.00012780422,-4.0898794e-6
104.0,0.13594581,0.00012499798,0.0001289291,-3.931116e-6
105.0,0.13968506,0.00012658331,0.00013048452,-3.901208e-6
106.0,0.14349294,0.00012828498,0.00013216483,-3.8798526e-6
107.0,0.14737071,0.00012978258,0.00013358323,-3.800654e-6
108.0,0.1513228,0.00012425646,0.00013369737,-9.440908e-6
109.0,0.15535037,0.00013106225,0.00013811557,-7.053323e-6
110.0,0.15941672,0.00013315346,0.00013953277,-6.3793177e-6
111.0,0.1635712,0.0001383379,0.00014430746,-5.9695585e-6
112.0,0.16777329,0.00013982391,0.00014548605,-5.662146e-6
113.0,0.1720456,0.00014129812,0.00014681584,-5.517734e-6
114.0,0.17639533,0.00013284669,0.0001470835,-1.4236812e-5
115.0,0.18079284,0.00013764843,0.00014792796,-1.027953e-5
116.0,0.18523441,0.00013969462,0.0001487883,-9.093687e-6
117.0,0.18972935,0.00014140211,0.000149787,-8.384873e-6
118.0,0.19428228,0.00014326676,0.0001512703,-8.003541e-6
119.0,0.19892013,0.00014853488,0.00015621944,-7.684576e-6
