time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,2.4962055e-5,3.663184e-6,3.6631839e-6,0.0
11.0,3.5803154e-5,3.5741602e-6,3.5741602e-6,0.0
12.0,5.0332972e-5,3.6248487e-6,3.6248487e-6,0.0
13.0,6.867081e-5,3.6888566e-6,3.6888566e-6,0.0
14.0,9.1003276e-5,3.7282975e-6,3.7282975e-6,0.0
15.0,0.00011748629,3.782882e-6,3.7828815e-6,0.0
16.0,0.0001482448,3.8620396e-6,3.86204e-6,-2.8670038e-13
17.0,0.00018337985,3.9531947e-6,3.9531974e-6,-2.7438399e-12
18.0,0.00022297421,4.0471805e-6,4.0472173e-6,-3.650385e-11
19.0,0.0002670968,4.1416934e-6,4.141839e-6,-1.4550623e-10
20.0,0.0003158055,4.2371407e-6,4.2374513e-6,-3.0987307e-10
21.0,0.00039274074,7.971548e-6,7.972108e-6,-5.579312e-10
22.0,0.00046099114,8.040835e-6,8.041714e-6,-8.7895846e-10
23.0,0.0005376649,8.1687385e-6,8.170041e-6,-1.3011376e-9
24.0,0.00062286324,8.310686e-6,8.312437e-6,-1.7511452e-9
25.0,0.00071680284,8.496403e-6,8.498387e-6,-1.9844582e-9
26.0,0.00081967044,8.705861e-6,8.708188e-6,-2.327698e-9
27.0,0.00093161763,8.909688e-6,8.912488e-6,-2.7988871e-9
28.0,0.0010527691,9.094841e-6,9.098318e-6,-3.4765677e-9
29.0,0.0011832282,9.265558e-6,9.270143e-6,-4.584096e-9
30.0,0.0013468391,1.3079059e-5,1.3085267e-5,-6.2087917e-9
31.0,0.0015064693,1.3233774e-5,1.3242437e-5,-8.661756e-9
32.0,0.0016793385,1.3497539e-5,1.3509343e-5,-1.1804599e-8
33.0,0.0018655789,1.3744614e-5,1.3757841e-5,-1.3226181e-8
34.0,0.002065428,1.4010889e-5,1.4023911e-5,-1.3021133e-8
35.0,0.0022790905,1.4283269e-5,1.4296833e-5,-1.3563641e-8
36.0,0.0025067334,1.454859e-5,1.4564323e-5,-1.5733502e-8
37.0,0.0027484954,1.483878e-5,1.4858777e-5,-1.9997945e-8
38.0,0.0030044937,1.5181154e-5,1.5207222e-5,-2.6068948e-8
39.0,0.0032748266,1.5552037e-5,1.5582691e-5,-3.0652053e-8
40.0,0.0035595794,1.5892123e-5,1.5922838e-5,-3.0715217e-8
41.0,0.003858826,1.6166965e-5,1.6197635e-5,-3.0670048e-8
42.0,0.0041726315,1.6407985e-5,1.6441816e-5,-3.383242e-8
43.0,0.004501054,1.668334e-5,1.6724336e-5,-4.099712e-8
