time, volume fraction, curvature(filtered), pos, neg 
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,2.1972277e-5,3.5921328e-6,3.5921328e-6,0.0
5.0,3.135825e-5,3.6163942e-6,3.6163938e-6,0.0
6.0,4.4523484e-5,3.5974917e-6,3.5974913e-6,0.0
7.0,8.406908e-5,7.259885e-6,7.259885e-6,0.0
8.0,0.00013655833,1.0898951e-5,1.0898951e-5,0.0
9.0,0.00020947079,1.4672942e-5,1.46729435e-5,0.0
10.0,0.00027993147,1.4671777e-5,1.4671777e-5,-7.780214e-14
11.0,0.0003661055,1.491382e-5,1.4913827e-5,-5.739081e-12
12.0,0.00046855852,1.5240349e-5,1.52403645e-5,-1.7196446e-11
13.0,0.0005878523,1.5548785e-5,1.5548845e-5,-5.9741656e-11
14.0,0.0007244468,1.587103e-5,1.5871196e-5,-1.6708851e-10
15.0,0.00089936727,1.9652965e-5,1.9653313e-5,-3.4683054e-10
16.0,0.001080129,2.0203042e-5,2.0203684e-5,-6.4420386e-10
17.0,0.0012830474,2.0577942e-5,2.0579038e-5,-1.0988825e-9
18.0,0.0015081291,2.1021186e-5,2.1022923e-5,-1.7370253e-9
19.0,0.0017557375,2.1470303e-5,2.1472939e-5,-2.6389448e-9
20.0,0.0020262063,2.1948426e-5,2.195226e-5,-3.833163e-9
21.0,0.0023198149,2.2452197e-5,2.2457853e-5,-5.657975e-9
22.0,0.002636797,2.2966675e-5,2.2974595e-5,-7.919201e-9
23.0,0.0029773533,2.348116e-5,2.3491733e-5,-1.0575925e-8
24.0,0.0033416534,2.3988998e-5,2.4002156e-5,-1.3156821e-8
25.0,0.003729846,2.448744e-5,2.4504341e-5,-1.6898202e-8
26.0,0.004142062,2.4979878e-5,2.5001389e-5,-2.1509766e-8
27.0,0.0045784153,2.5477413e-5,2.5503685e-5,-2.627523e-8
28.0,0.0050390093,2.5994766e-5,2.6026735e-5,-3.1969794e-8
29.0,0.005523933,2.6540281e-5,2.6579768e-5,-3.9487492e-8
30.0,0.006033273,2.7105725e-5,2.715124e-5,-4.5515517e-8
31.0,0.006595327,3.1296127e-5,3.134744e-5,-5.1315773e-8
32.0,0.007165815,3.1799525e-5,3.1856944e-5,-5.7421527e-8
33.0,0.007764623,3.2334818e-5,3.2400716e-5,-6.589882e-8
34.0,0.008391979,3.289696e-5,3.2970325e-5,-7.3357775e-8
35.0,0.009048117,3.3499524e-5,3.3582906e-5,-8.338241e-8
36.0,0.009733227,3.4140914e-5,3.4241002e-5,-1.0009076e-7
37.0,0.010447476,3.4789868e-5,3.4896937e-5,-1.0706774e-7
38.0,0.011190991,3.5415404e-5,3.5529967e-5,-1.1456894e-7
39.0,0.011963895,3.602294e-5,3.6148973e-5,-1.2603412e-7
40.0,0.012766286,3.6648962e-5,3.678488e-5,-1.3592178e-7
